date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,Team1 Win
26-10-2019,2020,0,,HOU,NOP,1641.67195,1403.833349,0.874873635,0.125126365,1642.773342,1402.731956,1699.224412,1381.647603,0.933285842,0.066714158,1699.770231,1381.101784,1715.725614,1522.641167,0.872323286,0.127676714,126,123,win
26-10-2019,2020,0,,SAS,WAS,1555.943094,1451.40074,0.764487276,0.235512724,1557.898976,1449.444857,1569.614776,1438.74306,0.831755205,0.168244795,1570.945171,1437.412665,1497.078684,1416.686089,0.787100709,0.212899291,124,122,win
26-10-2019,2020,0,,UTA,SAC,1588.548171,1435.638729,0.810899234,0.189100766,1595.75748,1428.42942,1610.147072,1423.917825,0.860803999,0.139196001,1615.238346,1418.826551,1611.143978,1487.623217,0.811686301,0.188313699,113,81,win
26-10-2019,2020,0,,PHO,LAC,1361.074537,1551.687444,0.37247588,0.62752412,1373.360094,1539.401887,1307.606272,1563.036021,0.240977283,0.759022717,1324.003623,1546.638671,1464.53632,1583.513238,0.410513402,0.589486598,130,122,win
27-10-2019,2020,0,,OKC,GSW,1525.751256,1605.125529,0.529647987,0.470352013,1544.998718,1585.878067,1543.123161,1649.289726,0.507550861,0.492449139,1563.521753,1628.891134,1560.502617,1600.212945,0.601749153,0.398250847,120,92,win
27-10-2019,2020,0,,MEM,BRK,1433.752251,1490.455463,0.561988531,0.438011469,1437.174519,1487.033195,1428.711867,1489.728329,0.556173349,0.443826651,1432.190593,1486.249602,1459.837687,1501.704829,0.583188968,0.416811032,134,133,win
27-10-2019,2020,0,,DAL,POR,1477.439785,1597.817894,0.470707127,0.529292873,1472.963966,1602.293713,1470.372369,1635.123638,0.410838223,0.589161777,1466.59156,1638.904447,1573.269604,1531.922796,0.695486167,0.304513833,119,121,loose
27-10-2019,2020,0,,MIN,MIA,1497.842336,1521.648002,0.607927735,0.392072265,1504.06015,1515.430189,1487.836153,1526.350939,0.644771027,0.355228973,1493.355783,1520.831309,1579.255034,1390.512965,0.87038062,0.12961938,116,109,win
27-10-2019,2020,0,,LAL,CHO,1478.162042,1472.240561,0.647879907,0.352120093,1488.425015,1461.977588,1478.767218,1471.387493,0.659300063,0.340699937,1488.633573,1461.521139,1624.781609,1343.632649,0.903446446,0.096553554,120,101,win
28-10-2019,2020,0,,DET,IND,1459.12748,1481.637803,0.609703589,0.390296411,1462.679032,1478.086251,1454.52077,1479.749127,0.608180781,0.391819219,1458.089165,1476.180732,1395.547732,1499.007668,0.497333637,0.502666363,96,94,win
